file_path,file_name,repo_name,ext,title,uuid,summary,keywords,last_modified,section_headings,synonym_data,tags,persona,doc_type
..\data\bluexp-dataset\legal-notices.adoc,legal-notices.adoc,bluexp-dataset,adoc,Legal notices,80e4f7bb-32c7-594b-8c6b-034c42b4a3b6,"Legal notices provide access to copyright statements, trademarks, patents, and more.","copyrights, notice, trademarks, patents, privacy, open source",2025-07-09T09:54:54.038706,,"observance, trademark, notification, privateness, sound, copyright, patent, notice, observation, seclusion, effectual, earmark, right of first publication, hallmark, patent of invention, letters patent, secrecy","notices, legal notices, legal, trademarks patents, trademarks",API Developer,reference
..\data\bluexp-dataset\automate\blogs.adoc,blogs.adoc,bluexp-dataset,adoc,Blogs about BlueXP platform automation,cb65b5d7-37a7-5044-9368-7bca5ef76d9b,Use the resources on this page to get help integrating BlueXP and Cloud Volumes ONTAP with your infrastructure as code.,"terraform, terraform provider, automation, automating",2025-07-09T09:54:54.000196,,"web log, astir, automatise, approximately, mechanisation, mechanization, automatize, political platform, automate, close to, program, political program, blog","blog, com blog, https cloud, ansible, cloud netapp",Storage Administrator,reference
..\data\bluexp-dataset\automate\overview.adoc,overview.adoc,bluexp-dataset,adoc,Overview of BlueXP automation options,6e5efeb1-fbdb-59a4-9c6a-6b56638923a9,Use the resources on this page to get help integrating BlueXP and Cloud Volumes ONTAP with your infrastructure as code.,"terraform, terraform provider, automation, automating",2025-07-09T09:54:54.000196,"Level 2: Terraform, Level 2: Ansible","degree, tier, grade, automatise, mechanisation, mechanization, choice, automatize, automate, option, alternative","terraform, infrastructure code, ansible, infrastructure, iac",DevOps Engineer,task
..\data\bluexp-dataset\cm\api_reference.adoc,api_reference.adoc,bluexp-dataset,adoc,API reference,49845542-ec08-54cc-859d-bd9f1d7855e0,"'This section contains the details of the Cloud Manager REST API calls, including resources, endpoints, parameters, and status codes. You can use this content as a reference when developing applications for the API.'","api, reference, cloud, manager, rest, api, occm",2025-07-09T09:54:54.004194,,"residual, swarm, obscure, director, cite, managing director, coach, mention, overcast, citation, balance, remainder","reference, resources endpoints, calls including, developing applications, including resources",API Developer,reference
..\data\bluexp-dataset\cm\api_ref_definitions.adoc,api_ref_definitions.adoc,bluexp-dataset,adoc,Definitions,1acdfaa3-2ab4-5611-bc76-0eb5c779e7e5,The data definitions are used when making REST API calls.,"data, definitions, bluexp, rest, apis",2025-07-09T09:54:54.002195,"Level 2: Definitions, Level 3: About, Level 3: AccountWorkingEnvironmentResponse, Level 3: ActionRequired, Level 3: ActionRequiredParameters, Level 3: AddCapacityToEvAggregateRequest, Level 3: AddDisksToAggregateRequest, Level 3: AddPortalUserRequest, Level 3: AddTenantRequest, Level 3: AggregateResponse, Level 3: AlertsAndNotificationServiceInformation, Level 3: AllRelationships, Level 3: AllowedValuesForVolumesListFilter, Level 3: AssociatedSubscription, Level 3: AssumeRole, Level 3: AsupConfiguration, Level 3: AsupConfigurationRequest, Level 3: AsupInterval, Level 3: AsupSchedule, Level 3: AuditGroupSummary, Level 3: AuditGroupSummaryRecord, Level 3: Auth0Information, Level 3: AuthRequest, Level 3: AvailableIpsResponse, Level 3: AwsAccessKeys, Level 3: AwsAccountRequest, Level 3: AwsAccountResponse, Level 3: AwsCloudBackupSetupRequest, Level 3: AwsDisksConstraints, Level 3: AggregateNumToDiskSize, Level 3: AwsEncryption, Level 3: AwsEncryptionKey, Level 3: AwsHaFloatingIpValidationData, Level 3: AwsHaFloatingIpValidationResponse, Level 3: AwsHaProperties, Level 3: AwsKeysRequest, Level 3: AwsProperties, Level 3: AwsTag, Level 3: AwsValidateSubscribedToOntapCloudRequest, Level 3: AwsValidateSubscribedToOntapCloudResponse, Level 3: AzureAccountRequest, Level 3: AzureAccountResponse, Level 3: AzureAvailabilitySet, Level 3: AzureAvailabilityZoneResponse, Level 3: AzureBlobContainer, Level 3: AzureCloudBackupSetupRequest, Level 3: AzureDataDiskResponse, Level 3: AzureDiskSize, Level 3: AzureDisksConstraints, Level 3: AzureEncryption, Level 3: AzureHaNodeInfo, Level 3: AzureHaParameters, Level 3: AzureHaProperties, Level 3: AzureKey, Level 3: AzureKeyVault, Level 3: AzureKeys, Level 3: AzureNetworkExtendedResponse, Level 3: AzureNetworkRequirementsResponse, Level 3: AzureProperties, Level 3: AzureRegionResponse, Level 3: AzureResourceGroupByRegionResponse, Level 3: AzureResourceGroupResponse, Level 3: AzureSecurityGroupResponse, Level 3: AzureStorageAccountTypeResponse, Level 3: AzureSubnetResponse, Level 3: AzureTag, Level 3: AzureValidateSubscribedToOntapCloudRequest, Level 3: AzureValidateSubscribedToOntapCloudResponse, Level 3: AzureVirtualNetworkCidrData, Level 3: AzureVirtualNetworkResponse, Level 3: AzureVsaWorkingEnvironmentResponse, Level 3: BroadcastDomainInfo, Level 3: BucketAdditionalData, Level 3: BucketsPolicyAndTieringInfoRequest, Level 3: CIFSConfigurationRequest, Level 3: CIFSConfigurationResponse, Level 3: CIFSDeleteRequest, Level 3: Capacity, Level 3: CapacityFeatures, Level 3: CapacityTierInfo, Level 3: CbsPropertiesWithReason, Level 3: CbsSchedule, Level 3: CertificateResponse, Level 3: CertificateSigningRequest, Level 3: ChangeLicenseParameters, Level 3: ChangeNetworkOptimizationRequest, Level 3: ChangeSerialNumberRequest, Level 3: ChangeTierLevelRequest, Level 3: ChangeVolumeTierRequest, Level 3: CifsShareInfo, Level 3: CifsShareUserPermissions, Level 3: CloudAccountResponse, Level 3: CloudCentralAuditGroupResponse, Level 3: CloudCentralAuditOptionsEntryResponse, Level 3: CloudCentralAuditOptionsResponse, Level 3: CloudCentralAuditRecordResponse, Level 3: CloudComplianceInfoResponse, Level 3: CloudComplianceStatusResponse, Level 3: CloudOntapManifest, Level 3: CloudProviderAccountResponse, Level 3: CloudResourceTag, Level 3: CloudSyncConstants, Level 3: CloudSyncLicenseInformation, Level 3: CloudSyncProperties, Level 3: CloudSyncRelationship, Level 3: CloudSyncStatus, Level 3: ClusterCredentialsRequest, Level 3: ClusterInfo, Level 3: ClusterInfoResponse, Level 3: CommonDiskProperties, Level 3: ComplianceExtendedStatusResponse, Level 3: ComplianceScanStatusResponse, Level 3: ComplianceScanStatusVolumeResponse, Level 3: ConfigResponse, Level 3: ConfigValuesResponse, Level 3: ConfigValuesUpdateRequest, Level 3: Configuration, Level 3: CostByService, Level 3: CostByTime, Level 3: CostByUsage, Level 3: CreateAwsHaWorkingEnvironmentRequest, Level 3: CreateAzureSvmRequest, Level 3: CreateAzureVSAWorkingEnvironmentRequest, Level 3: CreateBlobContainerRequest, Level 3: CreateBucketRequest, Level 3: CreateCifsShareInfoRequest, Level 3: CreateCloudComplianceByWesRequest, Level 3: CreateFlexCacheRestRequest, Level 3: CreateGcpVsaWorkingEnvironmentRequest, Level 3: CreateIscsiInfoRequest, Level 3: CreateReplicationRequestToFsx, Level 3: CreateReplicationRequestToOnPrem, Level 3: CreateReplicationRequestToVsa, Level 3: CreateRequestParametersResponse, Level 3: CreateSvmRequest, Level 3: CreateVSAWorkingEnvironmentRequest, Level 3: CronJobSchedule, Level 3: CronJobScheduleResponse, Level 3: CsrResponse, Level 3: CvoSaasProperties, Level 3: CvsRegion, Level 3: CvsServiceInformation, Level 3: DataBrokerPlacement, Level 3: DataBrokerProperties, Level 3: DefaultProviderVolume, Level 3: DescribeCvoSubscriptionResponse, Level 3: DiscoveredAwsHaResponse, Level 3: DiscoveredAzureHaResponse, Level 3: DiscoveredAzureVSAResponse, Level 3: DiscoveredGcpHaResponse, Level 3: DiscoveredGcpVsaResponse, Level 3: DiscoveredVsaResponse, Level 3: Disk, Level 3: DisksConfiguration, Level 3: DisksDetails, Level 3: Duration, Level 3: EbsVolumeType, Level 3: ElasticVolumeQuoteInfo, Level 3: EligibilityResponse, Level 3: EnableCapacityTieringRequest, Level 3: EnableMonitoringRequest, Level 3: EnableServiceScanRequest, Level 3: EncryptionProperties, Level 3: EvaluationOntapLicenses, Level 3: EvaluationSerialNumbers, Level 3: Expand, Level 3: Expands, Level 3: ExportPolicyInfo, Level 3: ExportPolicyResponse, Level 3: ExportPolicyRule, Level 3: ExtendedObjectStoreConfigInfo, Level 3: FailureCauses, Level 3: FeatureFlag, Level 3: FeatureProperties, Level 3: FlexCacheResponse, Level 3: FlexCacheSide, Level 3: FlexGroupVolumeInfo, Level 3: FloatingIps, Level 3: AwsHaFloatingIpValidationData:FloatingIps, Level 3: FpolicyProperties, Level 3: FpolicyProtocolStatus, Level 3: FsxCredentialsStatusResponse, Level 3: FsxVolumeCreateRequest, Level 3: FsxVolumeModifyRequest, Level 3: FsxVolumeRequest, Level 3: GcpAccountResponse, Level 3: GcpBucket, Level 3: GcpCloudBackupSetupRequest, Level 3: GcpDiskTypeResponse, Level 3: GcpDisksConstraints, Level 3: GcpEncryption, Level 3: GcpEncryptionKey, Level 3: GcpFirewallResponse, Level 3: GcpHaMediatorInfo, Level 3: GcpHaNodeInfo, Level 3: GcpHaParameters, Level 3: GcpHaProperties, Level 3: GcpInstanceMetadataItems, Level 3: GcpKeysForCloudStorageWithValidation, Level 3: GcpLabel, Level 3: GcpNetworkRequirementsResponse, Level 3: GcpProjectResponse, Level 3: GcpProjectsResponse, Level 3: GcpProperties, Level 3: GcpRegionResponse, Level 3: GcpServiceAccountResponse, Level 3: GcpServiceAccountsResponse, Level 3: GcpStorageAccountRequest, Level 3: GcpSubnetResponse, Level 3: GcpVirtualNetworkResponse, Level 3: GcpVsaWorkingEnvironmentResponse, Level 3: GcpZoneResponse, Level 3: GcpZonesAndRegionResponse, Level 3: GenericVsaWorkingEnvironmentResponse, Level 3: GlobalManifest, Level 3: GrantPermission, Level 3: HaParameters, Level 3: Id, Level 3: IGroup, Level 3: IgroupCreationRequest, Level 3: InitialSetupResponse, Level 3: Initiator, Level 3: InitiatorEntry, Level 3: InstallCertificatesAndPrivateKeyRequest, Level 3: InstallCertificatesRequest, Level 3: InstanceConfiguration, Level 3: InstanceConfigurationMapping, Level 3: InstanceNameIdAndType, Level 3: InstancePlacementResponse, Level 3: InstanceProfileResponse, Level 3: InstanceResponse, Level 3: InstanceTypeInfo, Level 3: InstanceTypeRegionMapping, Level 3: InstanceTypeResponse, Level 3: InstanceTypesNotSupportingAccelerationAndCapacityTieringResponse, Level 3: InterClusterLif, Level 3: InterfaceResponse, Level 3: IpSpaceResponse, Level 3: IpaServiceInformation, Level 3: KeyManagerCaCertificateRequest, Level 3: KeyManagerRequest, Level 3: KeyManagerResponse, Level 3: KeyPairsByRegionResponse, Level 3: KpiUnitValue, Level 3: LegacyInstanceTypes, Level 3: LicenseAndInstanceType, Level 3: LicenseAndInstanceTypeModificationRequest, Level 3: LicenseConversionRequest, Level 3: LicenseFileContent, Level 3: LicenseInformation, Level 3: LicenseServiceInformation, Level 3: LicenseToAmis, Level 3: LicensesContent, Level 3: LicensesSerials, Level 3: LifResponse, Level 3: LocalAuthSetupRequest, Level 3: LocalAuthSetupUserRequest, Level 3: MaxDisksAllow, Level 3: MediatorProxy, Level 3: MediatorStatus, Level 3: MediatorUpdateVersionMetadata, Level 3: MediatorUpgradeConfiguration, Level 3: MediatorVersionInfo, Level 3: MetadataResponse, Level 3: ModifyFlexCacheRestRequest, Level 3: ModifyUserTagsRequest, Level 3: Money, Level 3: MonitoringInfo, Level 3: MonitoringInfoResponse, Level 3: MonitoringStatusResponse, Level 3: NTPConfigurationRequest, Level 3: NamedExportPolicyInfo, Level 3: NetworkRequirementsResponse, Level 3: NfsClientsResponse, Level 3: NotificationServiceInformation, Level 3: NssAccountCredentials, Level 3: NssAccountRequest, Level 3: NssAccountResponse, Level 3: NssAccountVsaListRequest, Level 3: ObjectStoreConfigInfo, Level 3: OccmExternalConfiguration, Level 3: OccmFeaturesFlags, Level 3: OccmMigration, Level 3: OnCloudUpgradePath, Level 3: OnPremAggregateResponse, Level 3: OnPremCapacityFeatures, Level 3: OnPremClusterProperties, Level 3: OnPremVolumeCreateRequest, Level 3: OnPremVolumeModifyRequest, Level 3: OnPremVolumeRequest, Level 3: OnPremWorkingEnvironmentDiscoverRequest, Level 3: OnPremWorkingEnvironmentResponse, Level 3: OntapBackupTokenCreds, Level 3: OntapClusterProperties, Level 3: OntapEncryption, Level 3: OntapLicenseType, Level 3: OntapNodeProperties, Level 3: OntapUpdateImageMetadata, Level 3: PackageInfoResponse, Level 3: PasswordWrapper, Level 3: PolicySchedule, Level 3: PortalInformation, Level 3: PortalService, Level 3: PortalSetupAsServiceConnectorRequest, Level 3: PositiveCapacity, Level 3: ProvidedLicenseResponse, Level 3: ProviderLegacyInstanceTypes, Level 3: ProviderSpecific, Level 3: ProviderSupportedRegions, Level 3: ProviderVolumeResponse, Level 3: ProviderVolumeTypeResponse, Level 3: ProxyUri, Level 3: RaidInfoForEvAggregate, Level 3: RecoverAzureHARequest, Level 3: RecoverAzureVSARequest, Level 3: RecoverGcpHaRequest, Level 3: RecoverGcpVsaRequest, Level 3: RecoverVsaRequest, Level 3: Region, Level 3: RegionalAmi, Level 3: RegistrationResponse, Level 3: ReplicationInterClusterLif, Level 3: ReplicationInterClusterLifs, Level 3: ReplicationProperties, Level 3: ReplicationRequest, Level 3: ReplicationSchedule, Level 3: ReplicationStatusCurrentTransferInfo, Level 3: ReplicationStatusLastTransferInfo, Level 3: ReplicationStatusResponse, Level 3: ReplicationStatusSide, Level 3: ReplicationToFsxRequest, Level 3: ReplicationUpdateRequest, Level 3: ResetPassword, Level 3: ResetUserPasswordRequest, Level 3: ResourcesToDelete, Level 3: RouteTableResponse, Level 3: RouteTableTag, Level 3: S3BucketInfo, Level 3: S3BucketInfoDetails, Level 3: S3BucketsSummary, Level 3: S3Summary, Level 3: SaasMpAccountResponse, Level 3: SaasMpServiceInformation, Level 3: SaasSubscription, Level 3: SavingsInfo, Level 3: SecurityGroupResponse, Level 3: ServerTimeZone, Level 3: ServiceInfo, Level 3: ServiceInformationUrl, Level 3: SetNssKeysRequest, Level 3: SetProxyRequest, Level 3: SetupInfo, Level 3: SgwsCloudBackupSetupRequest, Level 3: SgwsCredentialsRequest, Level 3: SharePermissions, Level 3: SiteIdentifier, Level 3: SnapMirrorPolicyResponse, Level 3: SnapMirrorRuleResponse, Level 3: SnapshotCreateRequest, Level 3: SnapshotDeleteRequest, Level 3: SnapshotPolicy, Level 3: SnapshotPolicyCreateRequest, Level 3: SnapshotResponse, Level 3: SnapshotPolicyScheduleRequest, Level 3: SourceSnapmirrorEndpoint, Level 3: SourceTarget, Level 3: StartStopRange, Level 3: Status, Level 3: StatusProperties, Level 3: SubnetResponse, Level 3: SubscriptionResponse, Level 3: SupportRegistrationInformation, Level 3: SupportRegistrationProperties, Level 3: SupportRegistrationResponse, Level 3: SupportServices, Level 3: SupportedCapacityTiers, Level 3: SupportedCapacityTiersResponse, Level 3: SupportedFeatures, Level 3: SupportedFeaturesResponse, Level 3: Svm, Level 3: SvmNameModificationRequest, Level 3: SvmResponse, Level 3: TagKeyResponse, Level 3: TagResponse, Level 3: TaskCacheEntry, Level 3: TenancyServiceInformation, Level 3: TenantActionsRequiredResponse, Level 3: TenantResponse, Level 3: TieringRestriction, Level 3: TimePoint, Level 3: TrustedCertificateResponse, Level 3: UpdateCredentialsRequest, Level 3: UpdateInfo, Level 3: UpdateKeyManagerCaCertificateRequest, Level 3: UpdateLocalImage, Level 3: UpdateRouteTablesRequest, Level 3: UpdateServiceUser, Level 3: UpdateSubscriptionRequest, Level 3: UpdateSystemImageRequest, Level 3: UpdateTenantRequest, Level 3: UpdateUserRequest, Level 3: Usage, Level 3: UserPasswordRequest, Level 3: UserPrivateDnsZoneSettings, Level 3: UserRequest, Level 3: UserResponse, Level 3: UserTagsResponse, Level 3: UserWorkingEnvironmentResponse, Level 3: VersionWrapper, Level 3: VhdImageRequest, Level 3: VmDiskProperties, Level 3: Volume, Level 3: VolumeCbsInfo, Level 3: VolumeCloneRequest, Level 3: VolumeForBackupResponse, Level 3: VolumeInfo, Level 3: VolumeModifyRequest, Level 3: VolumeMoveParameters, Level 3: VolumeMoveRequest, Level 3: VolumeQualityOfService, Level 3: VolumeResponse, Level 3: VolumeShareResponse, Level 3: VolumeTags, Level 3: VolumesListForBackup, Level 3: VpcBasicResponse, Level 3: VpcExtendedResponse, Level 3: VpcTagResponse, Level 3: VsaAggregateCreateRequest, Level 3: VsaClusterProperties, Level 3: VsaLicense, Level 3: VsaMetadataRequest, Level 3: VsaSchedule, Level 3: VsaSchedulesRequest, Level 3: VsaVolumeCreateRequest, Level 3: VsaVolumeOnNewVsaCreateRequest, Level 3: VsaVolumeQuoteRequest, Level 3: VsaVolumeQuoteResponse, Level 3: VsaVolumeRequest, Level 3: VsaWorkingEnvironmentResponse, Level 3: VscanFileOpRequest, Level 3: WeActionRequiredResponse, Level 3: WorkingEnvironmentCostAndUsageResponse, Level 3: WorkingEnvironmentOntapSavingResponse, Level 3: WorkingEnvironments, Level 3: WorkingEnvironmentsInformation, Level 3: WorkspaceResponse, Level 3: WormRequest, Level 3: WormRetentionPeriod, Level 3: WritingSpeedRequest, Level 3: ZapiCredentials","residual, utilisation, astir, data point, shape, continuance, capability, book, length, neighborhood, expand, utilization, degree, tier, grade, close to, constellation, thrive, spread out, part, definition, boom, content, phonograph record, disc, saucer, form, position, instigator, approximately, use, information, mass, area, condition, bulk, datum, capacitance, balance, genus apis, remainder","true string, true, string, header description, schema default",API Developer,overview
