query,expected_urls,predicted_url,match,similarity
legal notices,['https://docs.netapp.com/us-en/bluexp-automation/legal-notices.html'],https://docs.netapp.com/us-en/bluexp-automation/legal-notices.html,True,0.561
blogs,['https://docs.netapp.com/us-en/bluexp-automation/automate/blogs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_create_repl.html,False,0.2009
overview,['https://docs.netapp.com/us-en/bluexp-automation/automate/overview.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/prepare.html,False,0.2403
api reference,['https://docs.netapp.com/us-en/bluexp-automation/cm/api_reference.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/api_reference.html,True,0.507
api ref definitions,['https://docs.netapp.com/us-en/bluexp-automation/cm/api_ref_definitions.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/api_ref_definitions.html,True,0.4674
api ref resources,['https://docs.netapp.com/us-en/bluexp-automation/cm/api_ref_resources.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/api_reference.html,False,0.5121
cvo deployment,['https://docs.netapp.com/us-en/bluexp-automation/cm/cvo_deployment.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/cvo_deployment.html,True,0.3997
overview,['https://docs.netapp.com/us-en/bluexp-automation/cm/overview.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/prepare.html,False,0.2403
prepare,['https://docs.netapp.com/us-en/bluexp-automation/cm/prepare.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/prepare.html,True,0.1014
security,['https://docs.netapp.com/us-en/bluexp-automation/cm/security.html'],https://docs.netapp.com/us-en/bluexp-automation/platform/user_access_tokens.html,False,0.2536
wf aws cloud add capacity,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_add_capacity.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_add_capacity.html,True,0.7007
wf aws cloud create we byol,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_create_we_byol.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_create_we_byol.html,True,0.5328
wf aws cloud create we capacity,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_create_we_capacity.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_add_capacity.html,False,0.6643
wf aws cloud create we paygo,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_create_we_paygo.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_create_we_paygo.html,True,0.7091
wf aws cloud delete we,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_delete_we.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_delete_we.html,True,0.6365
wf aws cloud get wes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_get_wes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_create_account.html,False,0.5271
wf aws cloud md create account,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_create_account.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_create_account.html,True,0.6729
wf aws cloud md get ebs vol types,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_ebs_vol_types.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_ebs_vol_types.html,True,0.6847
